"OBJECTID","Name","Yr_Final","Area_sqm","Measure.var","value","forest.yr","Area_ha","value.ha"
386,"YURAYACO",2003,1017128.970855,"Forest1990",522717.48595,1990,101.7128970855,52.271748595
387,"CACHIVERA DE NARE",2000,2610756.829648,"Forest1990",498185.618378,1990,261.0756829648,49.8185618378
388,"INKAL AWA",2010,713311.226314,"Forest1990",451008.949971,1990,71.3311226314,45.1008949971
389,"AGUA BLANCA",2011,12938673.0773,"Forest1990",12868851.6081,1990,1293.86730773,1286.88516081
390,"TUCÁN DE CAÑO GIRIZA Y PUERTO LA PALMA",2005,54146549.3974,"Forest1990",48788223.3998,1990,5414.65493974,4878.82233998
391,"NASSA KIWE",2003,2451299.690432,"Forest1990",232109.208562,1990,245.1299690432,23.2109208562
1,"Caño Bodegas",2002,19730226.2612288,"Forest2000",9441938.41498,2000,1973.02262612288,944.193841498
3,"San Nicolás",2003,302874.21117284,"Forest2000",0,2000,30.287421117284,0
4,"El Aguacate",2002,5802730.21406,"Forest2000",4350632.36049,2000,580.273021406,435.063236049
6,"Los Mangos",2000,3747714.5382561,"Forest2000",173610.139738,2000,374.77145382561,17.3610139738
19,"Pueblo Nuevo",2002,2107853.544427,"Forest2000",1369066.91717,2000,210.7853544427,136.906691717
124,"Nueva Esperanza",2012,15837207.5842526,"Forest2000",14243579.7254,2000,1583.72075842526,1424.35797254
127,"Alejandro",2011,229278.60845814,"Forest2000",0,2000,22.927860845814,0
129,"Makankamana",2012,29953410.30495,"Forest2000",6800044.98419,2000,2995.341030495,680.004498419
131,"De Alto Rio Dagua",2005,28496594.78457,"Forest2000",16932649.8246,2000,2849.659478457,1693.26498246
144,"Chilona - El Salto",2012,3901510.47726,"Forest2000",1692698.86244,2000,390.151047726,169.269886244
156,"Embera Drua",2003,90579.2033414,"Forest2000",0,2000,9.05792033414,0
157,"Hermeregildo Chakiama",2000,589708.3550876,"Forest2000",46233.1350389,2000,58.97083550876,4.62331350389
158,"Narikizavi",2001,2977791.309852,"Forest2000",150021.805534,2000,297.7791309852,15.0021805534
160,"Dokerazavi",2001,7391640.40601,"Forest2000",2180505.61377,2000,739.164040601,218.050561377
161,"Bernardino Panchi",2006,223617.40824912,"Forest2000",64160.2690335,2000,22.361740824912,6.41602690335
162,"Cananama",2000,16380682.804311,"Forest2000",114167.537545,2000,1638.0682804311,11.4167537545
164,"Calderas",2001,11585646.2273851,"Forest2000",7264263.40131,2000,1158.56462273851,726.426340131
165,"La Cilia O La Calera",2003,398171.081355,"Forest2000",16983.6006265,2000,39.8171081355,1.69836006265
166,"Polindara",2003,22892950.111139,"Forest2000",286834.143915,2000,2289.2950111139,28.6834143915
167,"Las Mercedes",2003,59442.6021928,"Forest2000",0,2000,5.94426021928,0
168,"Musse Ukwe",2006,2918348.7076595,"Forest2000",0,2000,291.83487076595,0
